SIMULATED ANNEALING LOG

Step=112 | Candidate=93.590 | Current=93.590 | Best=93.959 | Delta=-0.151 | Prob=1.0000 | T=0.3707 | Swap=[Chandra's Phoenix] -> [Reckless Waif] | Accepted=True
Step=113 | Candidate=93.718 | Current=93.718 | Best=93.959 | Delta=0.128 | Prob=1.0000 | T=0.3622 | Swap=[Reckless Waif] -> [Keldon Marauders] | Accepted=True
Step=114 | Candidate=93.769 | Current=93.769 | Best=93.959 | Delta=0.051 | Prob=1.0000 | T=0.3540 | Swap=[Flinthoof Boar] -> [Manic Vandal] | Accepted=True
Step=115 | Candidate=93.910 | Current=93.910 | Best=93.959 | Delta=0.141 | Prob=1.0000 | T=0.3459 | Swap=[Lightning Bolt] -> [Stomping Ground] | Accepted=True
Step=116 | Candidate=93.873 | Current=93.873 | Best=93.959 | Delta=-0.037 | Prob=1.0000 | T=0.3380 | Swap=[Spikeshot Elder] -> [Flinthoof Boar] | Accepted=True
Step=117 | Candidate=93.848 | Current=93.848 | Best=93.959 | Delta=-0.025 | Prob=1.0000 | T=0.3303 | Swap=[Grim Lavamancer] -> [Flinthoof Boar] | Accepted=True
Step=118 | Candidate=93.633 | Current=93.848 | Best=93.959 | Delta=-0.215 | Prob=1.0000 | T=0.3228 | Swap=[Flinthoof Boar] -> [Vulshok Refugee] | Accepted=False
Step=119 | Candidate=93.848 | Current=93.848 | Best=93.959 | Delta=0.000 | Prob=1.0000 | T=0.3155 | Swap=[Lightning Mauler] -> [Goblin Chieftain] | Accepted=True
Step=120 | Candidate=93.575 | Current=93.575 | Best=93.959 | Delta=-0.273 | Prob=1.0000 | T=0.3083 | Swap=[Chandra's Phoenix] -> [Grim Lavamancer] | Accepted=True
Step=121 | Candidate=93.900 | Current=93.900 | Best=93.959 | Delta=0.325 | Prob=1.0000 | T=0.3013 | Swap=[Stingscourger] -> [Ember Hauler] | Accepted=True
Step=122 | Candidate=93.688 | Current=93.688 | Best=93.959 | Delta=-0.213 | Prob=1.0000 | T=0.2944 | Swap=[Zealous Conscripts] -> [Vulshok Refugee] | Accepted=True
Step=123 | Candidate=93.450 | Current=93.688 | Best=93.959 | Delta=-0.237 | Prob=1.0000 | T=0.2877 | Swap=[Hellrider] -> [Reckless Waif] | Accepted=False
Step=124 | Candidate=93.605 | Current=93.688 | Best=93.959 | Delta=-0.083 | Prob=1.0000 | T=0.2812 | Swap=[Manic Vandal] -> [Grim Lavamancer] | Accepted=False
Step=125 | Candidate=93.802 | Current=93.802 | Best=93.959 | Delta=0.115 | Prob=1.0000 | T=0.2748 | Swap=[Mogg War Marshal] -> [Ash Zealot] | Accepted=True
Step=126 | Candidate=93.914 | Current=93.914 | Best=93.959 | Delta=0.111 | Prob=1.0000 | T=0.2685 | Swap=[Mogg Fanatic] -> [Burning-Tree Emissary] | Accepted=True
Step=127 | Candidate=93.741 | Current=93.741 | Best=93.959 | Delta=-0.173 | Prob=1.0000 | T=0.2624 | Swap=[Goblin Chieftain] -> [Firefist Striker] | Accepted=True
Step=128 | Candidate=93.622 | Current=93.622 | Best=93.959 | Delta=-0.119 | Prob=1.0000 | T=0.2564 | Swap=[Hellrider] -> [Goblin Ringleader] | Accepted=True
Step=129 | Candidate=93.463 | Current=93.463 | Best=93.959 | Delta=-0.159 | Prob=1.0000 | T=0.2506 | Swap=[Goblin Ringleader] -> [Plated Geopede] | Accepted=True
Step=130 | Candidate=93.451 | Current=93.451 | Best=93.959 | Delta=-0.012 | Prob=1.0000 | T=0.2449 | Swap=[Hellrider] -> [Firedrinker Satyr] | Accepted=True
Step=131 | Candidate=93.646 | Current=93.646 | Best=93.959 | Delta=0.195 | Prob=1.0000 | T=0.2393 | Swap=[Keldon Marauders] -> [Stingscourger] | Accepted=True
Step=132 | Candidate=93.337 | Current=93.646 | Best=93.959 | Delta=-0.309 | Prob=1.0000 | T=0.2339 | Swap=[Firefist Striker] -> [Rakdos Cackler] | Accepted=False
Step=133 | Candidate=93.482 | Current=93.646 | Best=93.959 | Delta=-0.164 | Prob=1.0000 | T=0.2285 | Swap=[Plated Geopede] -> [Burning-Tree Emissary] | Accepted=False
Step=134 | Candidate=93.301 | Current=93.646 | Best=93.959 | Delta=-0.345 | Prob=1.0000 | T=0.2233 | Swap=[Hellrider] -> [Ember Hauler] | Accepted=False
Step=135 | Candidate=93.542 | Current=93.542 | Best=93.959 | Delta=-0.104 | Prob=1.0000 | T=0.2183 | Swap=[Manic Vandal] -> [Goblin Chieftain] | Accepted=True
Step=136 | Candidate=93.548 | Current=93.548 | Best=93.959 | Delta=0.005 | Prob=1.0000 | T=0.2133 | Swap=[Lightning Mauler] -> [Hellspark Elemental] | Accepted=True
Step=137 | Candidate=93.583 | Current=93.583 | Best=93.959 | Delta=0.036 | Prob=1.0000 | T=0.2084 | Swap=[Ash Zealot] -> [Hellrider] | Accepted=True
Step=138 | Candidate=93.607 | Current=93.607 | Best=93.959 | Delta=0.024 | Prob=1.0000 | T=0.2037 | Swap=[Firedrinker Satyr] -> [Manic Vandal] | Accepted=True
Step=139 | Candidate=93.488 | Current=93.488 | Best=93.959 | Delta=-0.119 | Prob=1.0000 | T=0.1991 | Swap=[Stingscourger] -> [Spikeshot Elder] | Accepted=True
Step=140 | Candidate=93.612 | Current=93.612 | Best=93.959 | Delta=0.124 | Prob=1.0000 | T=0.1945 | Swap=[Price of Progress] -> [Pillar of Flame] | Accepted=True
Step=141 | Candidate=93.588 | Current=93.612 | Best=93.959 | Delta=-0.024 | Prob=1.0000 | T=0.1901 | Swap=[Grim Lavamancer] -> [Rakdos Cackler] | Accepted=False
Step=142 | Candidate=93.576 | Current=93.576 | Best=93.959 | Delta=-0.035 | Prob=1.0000 | T=0.1858 | Swap=[Stingscourger] -> [Stonewright] | Accepted=True
Step=143 | Candidate=93.388 | Current=93.576 | Best=93.959 | Delta=-0.188 | Prob=1.0000 | T=0.1815 | Swap=[Pillar of Flame] -> [Shrine of Burning Rage] | Accepted=False
Step=144 | Candidate=93.384 | Current=93.576 | Best=93.959 | Delta=-0.193 | Prob=1.0000 | T=0.1774 | Swap=[Goblin Warchief] -> [Pyreheart Wolf] | Accepted=False
Step=145 | Candidate=93.453 | Current=93.576 | Best=93.959 | Delta=-0.123 | Prob=1.0000 | T=0.1734 | Swap=[Stonewright] -> [Gore-House Chainwalker] | Accepted=False
Step=146 | Candidate=93.721 | Current=93.721 | Best=93.959 | Delta=0.144 | Prob=1.0000 | T=0.1694 | Swap=[Spikeshot Elder] -> [Hellspark Elemental] | Accepted=True
Step=147 | Candidate=93.616 | Current=93.721 | Best=93.959 | Delta=-0.105 | Prob=1.0000 | T=0.1656 | Swap=[Pillar of Flame] -> [Smash to Smithereens] | Accepted=False
